HourUTC,HourDK,PriceArea,SpotPurchase,SpotSale,SpotPriceDKK,ElbasAveragePriceDKK,ElbasMaxPriceDKK,ElbasMinPriceDKK,SpotPriceEUR,ElbasAveragePriceEUR,ElbasMaxPriceEUR,ElbasMinPriceEUR
2017-12-31T00:00:00+00:00,2017-12-31T01:00:00,DK1,794.4,2375.4,196.82,201.546584,202.21568,199.24192,26.44,27.11,27.2,26.8
2017-12-31T00:00:00+00:00,2017-12-31T01:00:00,DK2,918.1,610,196.82,0,0,0,26.44,0,0,0
2017-12-31T01:00:00+00:00,2017-12-31T02:00:00,DK1,705.5,2370.6,195.03,199.687984,205.18944,198.49848,26.2,26.86,27.6,26.7
2017-12-31T01:00:00+00:00,2017-12-31T02:00:00,DK2,890.7,585.6,195.03,204.297312,205.93288,200.7288,26.2,27.48,27.7,27
2017-12-31T02:00:00+00:00,2017-12-31T03:00:00,DK1,664,2382.8,192.8,192.997024,202.21568,191.06408,25.9,25.96,27.2,25.7
2017-12-31T02:00:00+00:00,2017-12-31T03:00:00,DK2,874.1,541.9,192.8,193.368744,194.03784,193.2944,25.9,26.01,26.1,26
2017-12-31T03:00:00+00:00,2017-12-31T04:00:00,DK1,648.2,2402.7,188.85,187.272536,196.26816,183.62968,25.37,25.19,26.4,24.7
2017-12-31T03:00:00+00:00,2017-12-31T04:00:00,DK2,885.5,583.2,188.85,185.934344,187.34688,182.1428,25.37,25.01,25.2,24.5
2017-12-31T04:00:00+00:00,2017-12-31T05:00:00,DK1,664,2457.6,190.49,189.20548,199.98536,184.37312,25.59,25.45,26.9,24.8
2017-12-31T04:00:00+00:00,2017-12-31T05:00:00,DK2,915.3,609.9,190.49,185.711312,185.86,185.11656,25.59,24.98,25,24.9
2017-12-31T05:00:00+00:00,2017-12-31T06:00:00,DK1,713.2,2449.9,193.32,194.40956,206.67632,187.34688,25.97,26.15,27.8,25.2
2017-12-31T05:00:00+00:00,2017-12-31T06:00:00,DK2,1054,636.8,193.32,191.138424,197.75504,189.5772,25.97,25.71,26.6,25.5
